onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
133.5160000000	n/a	n/a	Instr: "Choose"	n/a	n/a	S  1
135.0520000000	n/a	n/a	Imperative Stimulus	n/a	n/a	S  3
136.7380000000	n/a	n/a	Left Button Choice	n/a	n/a	S  4
137.5720000000	n/a	n/a	FB: +1	n/a	n/a	S 11
139.9260000000	n/a	n/a	Instr: "Match"	n/a	n/a	S  2
141.4120000000	n/a	n/a	Imperative Stimulus	n/a	n/a	S  3
142.6740000000	n/a	n/a	Left Button Choice	n/a	n/a	S  4
143.4780000000	n/a	n/a	FB: +1	n/a	n/a	S 11
145.8300000000	n/a	n/a	Instr: "Choose"	n/a	n/a	S  1
147.3380000000	n/a	n/a	Imperative Stimulus	n/a	n/a	S  3
147.9860000000	n/a	n/a	Left Button Choice	n/a	n/a	S  4
148.8000000000	n/a	n/a	FB: +1	n/a	n/a	S 11
151.1500000000	n/a	n/a	Instr: "Choose"	n/a	n/a	S  1
152.5780000000	n/a	n/a	Imperative Stimulus	n/a	n/a	S  3
153.5980000000	n/a	n/a	Left Button Choice	n/a	n/a	S  4
154.4040000000	n/a	n/a	FB: 0	n/a	n/a	S 10
156.7540000000	n/a	n/a	Instr: "Match"	n/a	n/a	S  2
158.2240000000	n/a	n/a	Imperative Stimulus	n/a	n/a	S  3
159.1420000000	n/a	n/a	Left Button Choice	n/a	n/a	S  4
159.9580000000	n/a	n/a	FB: 0	n/a	n/a	S 10
162.3100000000	n/a	n/a	Instr: "Match"	n/a	n/a	S  2
163.8540000000	n/a	n/a	Imperative Stimulus	n/a	n/a	S  3
164.7580000000	n/a	n/a	Left Button Choice	n/a	n/a	S  4
165.5620000000	n/a	n/a	FB: +1	n/a	n/a	S 11
206.1760000000	n/a	n/a	Instr: "Choose"	n/a	n/a	S  1
207.7160000000	n/a	n/a	Imperative Stimulus	n/a	n/a	S  3
209.2260000000	n/a	n/a	Right Button Choice	n/a	n/a	S  5
210.0300000000	n/a	n/a	FB: +1	n/a	n/a	S 11
212.3820000000	n/a	n/a	Instr: "Match"	n/a	n/a	S  2
213.8300000000	n/a	n/a	Imperative Stimulus	n/a	n/a	S  3
214.9220000000	n/a	n/a	Left Button Choice	n/a	n/a	S  4
215.7340000000	n/a	n/a	FB: +1	n/a	n/a	S 11
218.0860000000	n/a	n/a	Instr: "Choose"	n/a	n/a	S  1
219.5460000000	n/a	n/a	Imperative Stimulus	n/a	n/a	S  3
221.3340000000	n/a	n/a	Right Button Choice	n/a	n/a	S  5
222.1380000000	n/a	n/a	FB: +1	n/a	n/a	S 11
224.4900000000	n/a	n/a	Instr: "Match"	n/a	n/a	S  2
226.0040000000	n/a	n/a	Imperative Stimulus	n/a	n/a	S  3
226.9260000000	n/a	n/a	Left Button Choice	n/a	n/a	S  4
227.7420000000	n/a	n/a	FB: +1	n/a	n/a	S 11
230.0940000000	n/a	n/a	Instr: "Choose"	n/a	n/a	S  1
231.5780000000	n/a	n/a	Imperative Stimulus	n/a	n/a	S  3
232.3840000000	n/a	n/a	Left Button Choice	n/a	n/a	S  4
233.1960000000	n/a	n/a	FB: 0	n/a	n/a	S 10
235.5480000000	n/a	n/a	Instr: "Choose"	n/a	n/a	S  1
237.0780000000	n/a	n/a	Imperative Stimulus	n/a	n/a	S  3
238.3600000000	n/a	n/a	Right Button Choice	n/a	n/a	S  5
239.1680000000	n/a	n/a	FB: 0	n/a	n/a	S 10
241.5200000000	n/a	n/a	Instr: "Match"	n/a	n/a	S  2
243.1020000000	n/a	n/a	Imperative Stimulus	n/a	n/a	S  3
243.8440000000	n/a	n/a	Left Button Choice	n/a	n/a	S  4
244.6560000000	n/a	n/a	FB: 0	n/a	n/a	S 10
247.0080000000	n/a	n/a	Instr: "Choose"	n/a	n/a	S  1
248.5400000000	n/a	n/a	Imperative Stimulus	n/a	n/a	S  3
249.6600000000	n/a	n/a	Right Button Choice	n/a	n/a	S  5
250.4760000000	n/a	n/a	FB: 0	n/a	n/a	S 10
252.8280000000	n/a	n/a	Instr: "Match"	n/a	n/a	S  2
254.3380000000	n/a	n/a	Imperative Stimulus	n/a	n/a	S  3
255.3160000000	n/a	n/a	Right Button Choice	n/a	n/a	S  5
256.1320000000	n/a	n/a	FB: 0	n/a	n/a	S 10
258.4820000000	n/a	n/a	Instr: "Match"	n/a	n/a	S  2
259.8960000000	n/a	n/a	Imperative Stimulus	n/a	n/a	S  3
260.7880000000	n/a	n/a	Right Button Choice	n/a	n/a	S  5
261.6020000000	n/a	n/a	FB: 0	n/a	n/a	S 10
263.9540000000	n/a	n/a	Instr: "Choose"	n/a	n/a	S  1
265.5240000000	n/a	n/a	Imperative Stimulus	n/a	n/a	S  3
266.3160000000	n/a	n/a	Left Button Choice	n/a	n/a	S  4
267.1220000000	n/a	n/a	FB: 0	n/a	n/a	S 10
269.4740000000	n/a	n/a	Instr: "Choose"	n/a	n/a	S  1
270.9780000000	n/a	n/a	Imperative Stimulus	n/a	n/a	S  3
272.5440000000	n/a	n/a	Left Button Choice	n/a	n/a	S  4
273.3620000000	n/a	n/a	FB: +1	n/a	n/a	S 11
275.7120000000	n/a	n/a	Instr: "Match"	n/a	n/a	S  2
277.2660000000	n/a	n/a	Imperative Stimulus	n/a	n/a	S  3
278.2640000000	n/a	n/a	Right Button Choice	n/a	n/a	S  5
279.0820000000	n/a	n/a	FB: +1	n/a	n/a	S 11
281.4340000000	n/a	n/a	Instr: "Choose"	n/a	n/a	S  1
282.9660000000	n/a	n/a	Imperative Stimulus	n/a	n/a	S  3
283.8560000000	n/a	n/a	Left Button Choice	n/a	n/a	S  4
284.6700000000	n/a	n/a	FB: +1	n/a	n/a	S 11
287.0220000000	n/a	n/a	Instr: "Match"	n/a	n/a	S  2
288.6100000000	n/a	n/a	Imperative Stimulus	n/a	n/a	S  3
289.4200000000	n/a	n/a	Right Button Choice	n/a	n/a	S  5
290.2240000000	n/a	n/a	FB: 0	n/a	n/a	S 10
292.5760000000	n/a	n/a	Instr: "Choose"	n/a	n/a	S  1
294.0040000000	n/a	n/a	Imperative Stimulus	n/a	n/a	S  3
295.5680000000	n/a	n/a	Right Button Choice	n/a	n/a	S  5
296.3780000000	n/a	n/a	FB: +1	n/a	n/a	S 11
298.7300000000	n/a	n/a	Instr: "Match"	n/a	n/a	S  2
300.1820000000	n/a	n/a	Imperative Stimulus	n/a	n/a	S  3
301.2200000000	n/a	n/a	Right Button Choice	n/a	n/a	S  5
302.0320000000	n/a	n/a	FB: +1	n/a	n/a	S 11
304.3840000000	n/a	n/a	Instr: "Match"	n/a	n/a	S  2
305.7880000000	n/a	n/a	Imperative Stimulus	n/a	n/a	S  3
306.5560000000	n/a	n/a	Left Button Choice	n/a	n/a	S  4
307.3700000000	n/a	n/a	FB: +1	n/a	n/a	S 11
309.7220000000	n/a	n/a	Instr: "Choose"	n/a	n/a	S  1
311.1640000000	n/a	n/a	Imperative Stimulus	n/a	n/a	S  3
312.3000000000	n/a	n/a	Right Button Choice	n/a	n/a	S  5
313.1080000000	n/a	n/a	FB: +1	n/a	n/a	S 11
315.4600000000	n/a	n/a	Instr: "Choose"	n/a	n/a	S  1
316.9560000000	n/a	n/a	Imperative Stimulus	n/a	n/a	S  3
318.1680000000	n/a	n/a	Right Button Choice	n/a	n/a	S  5
318.9800000000	n/a	n/a	FB: 0	n/a	n/a	S 10
321.3320000000	n/a	n/a	Instr: "Match"	n/a	n/a	S  2
322.8860000000	n/a	n/a	Imperative Stimulus	n/a	n/a	S  3
323.7080000000	n/a	n/a	Right Button Choice	n/a	n/a	S  5
324.5160000000	n/a	n/a	FB: 0	n/a	n/a	S 10
326.8680000000	n/a	n/a	Instr: "Match"	n/a	n/a	S  2
328.4280000000	n/a	n/a	Imperative Stimulus	n/a	n/a	S  3
329.3000000000	n/a	n/a	Left Button Choice	n/a	n/a	S  4
330.1040000000	n/a	n/a	FB: +1	n/a	n/a	S 11
332.4560000000	n/a	n/a	Instr: "Choose"	n/a	n/a	S  1
333.8620000000	n/a	n/a	Imperative Stimulus	n/a	n/a	S  3
335.1040000000	n/a	n/a	Right Button Choice	n/a	n/a	S  5
335.9080000000	n/a	n/a	FB: 0	n/a	n/a	S 10
338.2600000000	n/a	n/a	Instr: "Match"	n/a	n/a	S  2
339.8040000000	n/a	n/a	Imperative Stimulus	n/a	n/a	S  3
340.6920000000	n/a	n/a	Left Button Choice	n/a	n/a	S  4
341.4960000000	n/a	n/a	FB: 0	n/a	n/a	S 10
343.8480000000	n/a	n/a	Instr: "Choose"	n/a	n/a	S  1
